Lemma	T19_Kendall_w2v	T19_Jaccard_w2v	T19_NDCG_w2v	T19_w2v	T19_Kendall_ft	T19_Jaccard_ft	T19_NDCG_ft	T19_ft	TA_Kendall_ft	TA_Jaccard_ft	TA_NDCG_ft	TA_ft
бедный	0.2375959504182627	0.07526881720430108	0.26265315808721246	0.01976959254419879	0.2834296073801666	0.08303249097472924	0.24098865707422307	0.02000988849352755	0.2270335686680886	0.030927835051546393	0.14073365178633668	0.004352587168649588
плакать	0.1414340570086113	0.09090909090909091	0.20416586616160076	0.018560533287418253	0.2604674262908753	0.10294117647058823	0.20712554739886369	0.021321747526353612	0.19045989120636048	0.056338028169014086	0.16114250047628761	0.009078450731058457
кроткий	0.32085326075667825	0.09090909090909091	0.276372668148181	0.025124788013471	0.35338570837562666	0.08695652173913043	0.2757804924258458	0.023980912384856154	0.14453732025712399	0.02040816326530612	0.0853177396864753	0.0017411783609484752
искать	0.2451419362427682	0.05263157894736842	0.21169850280585492	0.011142026463466048	0.23682500193936432	0.06382978723404255	0.22665727480575742	0.014467485625899409	0.09260751075908508	0.0273972602739726	0.1426878919102771	0.003909257312610331
истина	0.27816826353073165	0.17647058823529413	0.43268479776303026	0.07635614078171123	0.38221427508602424	0.13636363636363635	0.38061146062301265	0.051901562812229	0.23929657722807876	0.0948905109489051	0.2997257264304407	0.02844112732551627
чистый	0.27570581476198674	0.08303249097472924	0.2655718408699052	0.022051091480172636	0.30058952932498545	0.0948905109489051	0.25421127492038614	0.024122237766168026	0.2704554150837244	0.04895104895104895	0.12144663253344683	0.00594494005408481
сердце	0.17204349407223885	0.06761565836298933	0.21463006062138998	0.014512352853403594	0.20082723296223093	0.07526881720430108	0.21514627680052353	0.016193805780684568	0.22222543727628422	0.034482758620689655	0.14515161276056895	0.005005228026226515
правда	0.1643387180949824	0.1070110701107011	0.28606990369599744	0.030612646520973893	0.13207942707752118	0.12359550561797752	0.31250614107175034	0.038624354514485995	-0.052079098034148175	0.023890784982935155	0.09837148204992292	0.002350171926107374
обижать	0.22053727839251	0.10294117647058823	0.25934503888603744	0.026697283414739148	0.3336665601063718	0.1070110701107011	0.28086800152030644	0.030055985402542017	0.2849506641516203	0.041666666666666664	0.19561622875035573	0.008150676197931488
преследовать	0.11246031747020958	0.04895104895104895	0.1447756244905381	0.007086918681355012	0.1566622069630606	0.056338028169014086	0.16236776461967442	0.009147479696883067	-0.0475409728881048	0.02040816326530612	0.05176655553502657	0.0010564603170413584
радоваться	0.3778544225454741	0.18110236220472442	0.4702773451806752	0.08516833810358686	0.36173492345346087	0.1583011583011583	0.39325321609601555	0.06225243961365497	0.18717028076427625	0.07526881720430108	0.23215764185318752	0.01747423110722917
мир	0.14014094563024684	0.09090909090909091	0.23661653208015948	0.021510593825469045	0.25070196848040704	0.09090909090909091	0.2204740795627367	0.020043098142066975	0.18199346046634554	0.030927835051546393	0.09483104452896421	0.002932918902957656
оскорблять	0.3016152185827874	0.1070110701107011	0.2938843556560938	0.03144887938755247	0.28075160947781264	0.1070110701107011	0.30802673316813234	0.03296227033902523	0.20108006109533513	0.03806228373702422	0.11739090391635804	0.004468165893010167
гнать	0.15863001825135406	0.06007067137809187	0.14902395904039123	0.008951969270977564	0.3207053021896435	0.08303249097472924	0.2415500165834425	0.02005649957191039	0.13363842189824782	0.01694915254237288	0.06637438886778395	0.0011249896418268465
пророк	0.3675989225501011	0.0948905109489051	0.2750680910795298	0.026101351708276547	0.36935130526106824	0.0989010989010989	0.2802469432993526	0.02771673065597993	0.3105440592877191	0.07142857142857142	0.26061530104174047	0.018615378645838603
горе	0.37624046583260984	0.14942528735632185	0.4052182692654827	0.060549856327026155	0.2762339813112039	0.14068441064638784	0.3406853720289522	0.04792912077973853	0.26764620507345116	0.08303249097472924	0.27199593905369135	0.02258450035463863
смеяться	0.33271524333373265	0.06761565836298933	0.2288515455693196	0.0154739479210572	0.3217039956011017	0.06007067137809187	0.20337175180575134	0.012216677670310152	0.2946541429907639	0.04529616724738676	0.20899661603414224	0.009466745674020382
получать	0.1927731329480525	0.07526881720430108	0.2760736218401824	0.020779734977218033	0.2340984126520476	0.12781954887218044	0.338323855790308	0.0432444026198138	0.1656180026867194	0.0948905109489051	0.27756193660155404	0.026337993984089068
ожидать	0.2623069695444291	0.1070110701107011	0.3229688167134644	0.03456123868889471	0.22053643124369077	0.14942528735632185	0.3715954941761654	0.055525763497587935	0.14393837289499478	0.056338028169014086	0.2124109636558006	0.01196681485384792
бедствие	0.24863163963446824	0.11524163568773234	0.2883932492557933	0.033234909765537515	0.3768444847422734	0.0989010989010989	0.2873498211470958	0.028419213080481998	0.15944554566545002	0.056338028169014086	0.12569914784068412	0.007081642131869528
счастие	0.4668344625222837	0.1583011583011583	0.4339724807287988	0.06869834637019594	0.4406427945854571	0.14068441064638784	0.4348383399932117	0.06117497558839861	0.24615391257068975	0.08303249097472924	0.30569302084655775	0.025382452994479523
бедность	0.30916419101729886	0.0948905109489051	0.2664925413118408	0.025287613409152775	0.25555679054064784	0.08303249097472924	0.27440561791286655	0.022784581992765094	0.16925706861098155	0.023890784982935155	0.09169487796345069	0.0021906626134612795
смирение	0.2758565192800077	0.06761565836298933	0.20830609718137688	0.014084753901943633	0.30616623393004766	0.11524163568773234	0.31711545001125485	0.03654490316114833	0.10343513220749136	0.030927835051546393	0.11474400541329954	0.003548783672576275
мочь	0.43824423407738466	0.2396694214876033	0.5890509040023624	0.14117748938899594	0.3704787455516275	0.1320754716981132	0.3891444502976428	0.05139643683176414	0.09940495365676434	0.056338028169014086	0.13363479217030685	0.007528720685651091
нарушать	0.31519821220818606	0.0948905109489051	0.2577383648780813	0.024456925134416475	0.2750060109729587	0.1320754716981132	0.33883370104147476	0.04475162089227025	0.2664443302906422	0.06007067137809187	0.22374189740381914	0.013440325992455565
чувствовать	0.21986434248667855	0.11524163568773234	0.31639379317406063	0.03646173824682483	0.12703812596384403	0.13636363636363635	0.31218295596334084	0.04257040308591011	0.1467785716015049	0.04529616724738676	0.18738625756077618	0.00848787926233481
соль	0.11761349922044509	0.013513513513513514	0.040383039620686685	0.0005457167516309012	0.10432868968035534	0.01694915254237288	0.03191580002446261	0.0005409457631264849	0.10593886566712635	0.006711409395973154	0.0046692350527072525	3.133714800474666e-05
потерять	0.24766640512439073	0.08695652173913043	0.29169026201019427	0.02536437060958211	0.2672436227437668	0.0948905109489051	0.286172928031958	0.02715509536069674	0.22707895606510844	0.04529616724738676	0.2133283195242375	0.009662955239773825
сила	0.27396005227804254	0.056338028169014086	0.1881334294618223	0.010599066448553369	0.15860563235217467	0.0989010989010989	0.2100312806119403	0.02077232445612596	0.16992666178706706	0.01694915254237288	0.0980636892405513	0.0016620964278059541
должный	0.3626340853423952	0.12781954887218044	0.4266879427652113	0.05453906035344806	0.34511997323931753	0.12359550561797752	0.3486177540072876	0.043087587573934424	0.22989202866557032	0.07526881720430108	0.24770535522683115	0.018644489103094818
свеча	0.4081327637619531	0.07526881720430108	0.22760484598793324	0.017131547547478847	0.3788958170412976	0.06007067137809187	0.18491379120468393	0.011107895584733664	0.19124687530420553	0.010101010101010102	0.04910194808491973	0.0004959792735850479
закрывать	0.26709767893069264	0.08695652173913043	0.2579074107178213	0.02242673136676707	0.3652420788337091	0.08695652173913043	0.2904897354336144	0.02525997699422734	0.18466048552560077	0.0273972602739726	0.06877723891090642	0.001884307915367299
бесполезный	0.3358409162822738	0.0948905109489051	0.33676695519693023	0.03195598844934374	0.43454728904020806	0.08303249097472924	0.3103366919246077	0.02576802857135732	0.2182437945031369	0.034482758620689655	0.09893425214657676	0.003411525936088854
никто	0.39005720610329886	0.14942528735632185	0.4416525346938947	0.06599405690828312	0.33878242561046623	0.16279069767441862	0.4764232191368288	0.07755726823157678	0.23698140951772617	0.056338028169014086	0.14473729799739926	0.008154213971684466
освещать	0.3846760357156474	0.06382978723404255	0.24174704357904103	0.015430662356109001	0.37889172872731625	0.04895104895104895	0.2001164341571805	0.009795909364337507	0.2334596528717055	0.0273972602739726	0.0691544669267688	0.001894642929500515
