Lemma	T19_w2v	T19_ft	TA_ft
пойти	0.07159235619692651	0.056023041773381375	0.013562560512418255
продолжать	0.010872740573934326	0.020304486241011215	0.005422079293941908
послушать	0.026013662316560503	0.029261477930913632	0.014207365727833007
слышать	0.06386000322650089	0.06664535613289191	0.039861434181353
упрекать	0.05108470441678652	0.03773231855598472	0.013218722405157384
лисица	0.006325489872645519	0.009618726056770234	0.0024354089893223216
животное	0.008889832273757423	0.011911557267439449	0.0027184550463717014
должно	0.046457287492557994	0.052984162822186084	0.014509102952285238
постоянный	0.005194439862562155	0.008745564726673921	0.0017315946685751904
везде	0.017080788893496287	0.014393862949318274	0.0017182868518971414
дома	0.034783278680455755	0.038643667484258966	0.009280159863546631
оправдываться	0.03150332221128173	0.030497405361286378	0.0064967818036409395
старость	0.004232043019374536	0.008510581586624332	0.002613343237540081
предоставлять	0.04091042371731903	0.03293500082207127	0.0037100756958835896
мертвый	0.011078881683772229	0.00881583992818491	0.003059430524028735
забота	0.018970946541655934	0.0157981912424309	0.002587990881159554
домашний	0.005492518497166759	0.006541521173871369	0.0021736091509034924
пахарь	0.0011555454482174126	0.0047756049972970255	6.0621390399155286e-05
глядеть	0.037388129863067596	0.02987828776831624	0.01783250406045859
окружать	0.008836311131903684	0.003051925378114522	0.0008910097207531956
предпочитать	0.011341353704614261	0.03016934477409343	0.0012217703539984532
лишение	0.03628236431511129	0.03645565630863416	0.0040002502486723955
страдание	0.047730915580833234	0.03872742916846736	0.01999757557671816
начальник	0.03075351985729851	0.030219256792928126	0.0009380200281782815
подходить	0.061357509756281084	0.035505431149572206	0.0012221283214295694
обращаться	0.05219630068310464	0.04297294087633851	0.019257500124613514
вопрос	0.06268113879865474	0.09777913312899164	0.008304488666682599
добрый	0.04524510746709145	0.04721637338221809	0.01595045084012669
моисей	0.011167705407247736	0.012400191514437055	0.015878510858975157
неправда	0.01172270703843309	0.033349257321333994	0.003959064744693256
совершенный	0.0015875814043340723	0.00949589106974968	0.001531630995557221
хватать	0.013648749455363662	0.01030553773523897	0.00010291495212919147
недоставать	0.015273446488881381	0.022230307435636146	5.636869127936242e-05
отсутствие	0.007241376769625272	0.005561083979349348	2.5569125466388603e-05
богатство	0.01308061052031631	0.012635395013116078	0.0027121138072097504
продавать	0.03915822708380733	0.030816151429360544	0.004500512118115175
очень	0.04075504892268017	0.037046927918592897	0.00854515170018635
дорожить	0.03835425644530959	0.04540848984386393	0.008456088082786388
мешать	0.03355249956206164	0.020755562496731744	0.0008464416285456409
ибо	0.006581819849969121	0.0021102109141260587	0.00024218639661515364
поражать	0.026225270283491392	0.02081677469446198	0.0016662391828057197
становиться	0.017206184633047503	0.02332578009720507	0.0020153537517020354
обеспечивать	0.0064716787280989655	0.014276203450281865	0.00635383367025956
взглядывать	0.04779853644500976	0.04879819339033122	0.0208531049614966
необходимость	0.03227364090715542	0.039037252157800156	0.013032767997330455
сестра	0.07609310423911654	0.06346209579950954	0.015432266013270825
поле	0.017976897719500663	0.013277918196513845	0.00024237420455913225
сто	0.03672299936332151	0.032868910938433055	0.019395244815967987
несмотря	0.036139219781593464	0.029264280652633295	0.0034210677300100805
сознание	0.02709760805751786	0.04459257345038575	0.0018639964761462612
считать	0.03857975752062224	0.053280442543891644	0.020303661017607576
употребление	0.011153247940113194	0.020280670745763448	0.0016107988367001732
управляющий	0.018895128435576693	0.021099488627558647	0.0006313469764755359
ожидание	0.009729773199153283	0.01002778578330021	0.003830089576116622
должность	0.019859587027494553	0.011041179996394175	0.0007728767266433205
принадлежать	0.02598575731214055	0.025081837653835114	0.0006152598591668842
помощь	0.004653573714943183	0.006412659176683621	0.0028769421884975994
уметь	0.043258545657063496	0.050830377800973776	0.017310550685968238
ради	0.012781875341077444	0.02057300503731958	0.00013055535421263419
сразу	0.0030527113354668757	0.005659093338361572	0.0026282436558094564
иудей	0.007250568280245373	0.01787961585737215	0.010272842647663503
любить	0.07014817850839726	0.08071303268073532	0.029790705207482428
